Model_Name,Downloads,Likes,Pipeline_Tag,Task,IsBiased1,IsBiased2,IsBiased-FINAL
https://huggingface.co/bert-base-uncased,47032389,611,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/emilyalsentzer/Bio_ClinicalBERT,25732590,107,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/gpt2,17502788,732,text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/xlm-roberta-base,14766501,207,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/distilbert-base-uncased,8982070,150,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/bert-base-cased,7471501,79,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/roberta-base,7046986,128,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/xlm-roberta-large,6875791,104,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/t5-base,6196125,164,translation,Natural Language Processing,no,no,no
https://huggingface.co/albert-base-v2,4431889,43,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/StanfordAIMI/stanford-deidentifier-base,4401240,37,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/distilroberta-base,3888372,46,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/distilbert-base-uncased-finetuned-sst-2-english,2684468,168,text-classification,Natural Language Processing,yes,yes,yes
https://huggingface.co/facebook/bart-large-mnli,2589433,384,zero-shot-classification,Natural Language Processing,no,no,no
https://huggingface.co/philschmid/bart-large-cnn-samsum,2389110,127,summarization,Natural Language Processing,no,no,no
https://huggingface.co/bert-base-multilingual-cased,2297551,109,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/distilbert-base-cased-distilled-squad,2206566,89,question-answering,Natural Language Processing,yes,yes,yes
https://huggingface.co/Helsinki-NLP/opus-mt-en-es,2171498,24,translation,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/all-MiniLM-L6-v2,2163353,302,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/cl-tohoku/bert-base-japanese-whole-word-masking,2072505,31,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/t5-small,2060757,75,translation,Natural Language Processing,no,no,no
https://huggingface.co/roberta-large,1898275,91,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/yiyanghkust/finbert-tone,1865307,61,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/cardiffnlp/twitter-xlm-roberta-base-sentiment,1861657,72,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/dslim/bert-base-NER,1768475,127,token-classification,Natural Language Processing,yes,yes,yes
https://huggingface.co/ProsusAI/finbert,1677080,175,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/Davlan/bert-base-multilingual-cased-ner-hrl,1596214,34,token-classification,Natural Language Processing,yes,yes,yes
https://huggingface.co/ckiplab/bert-base-chinese-ner,1561160,31,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/snrspeaks/t5-one-line-summary,1458583,67,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/cross-encoder/ms-marco-MiniLM-L-6-v2,1451070,10,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment,1444371,142,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/Davlan/distilbert-base-multilingual-cased-ner-hrl,1314421,8,token-classification,Natural Language Processing,yes,yes,yes
https://huggingface.co/bert-base-chinese,1312161,255,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/bert-large-uncased-whole-word-masking-finetuned-squad,1304704,64,question-answering,Natural Language Processing,no,no,no
https://huggingface.co/bert-large-uncased,1124426,19,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/shibing624/text2vec-base-chinese,1093475,34,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/EleutherAI/gpt-j-6B,1083874,768,text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/papluca/xlm-roberta-base-language-detection,1080798,68,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/cardiffnlp/twitter-roberta-base-sentiment-latest,1051389,106,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/all-mpnet-base-v2,990586,105,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/openai-gpt,880228,52,text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/distilgpt2,856530,151,text-generation,Natural Language Processing,yes,no,yes
https://huggingface.co/deepset/roberta-base-squad2,856034,238,question-answering,Natural Language Processing,no,no,no
https://huggingface.co/Seethal/sentiment_analysis_generic_dataset,822396,8,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/facebook/bart-large-cnn,814187,289,summarization,Natural Language Processing,no,no,no
https://huggingface.co/camembert-base,807241,29,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/gpt2-medium,797022,33,text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/PygmalionAI/pygmalion-6b,754821,253,conversational,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/multi-qa-mpnet-base-dot-v1,749279,44,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/nbroad/ESG-BERT,712664,28,text-classification,Natural Language Processing,yes,yes,yes
https://huggingface.co/Jean-Baptiste/camembert-ner,709597,60,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/j-hartmann/emotion-english-distilroberta-base,708863,115,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/dmis-lab/biobert-base-cased-v1.2,705504,14,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/paraphrase-MiniLM-L6-v2,656483,34,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/prithivida/parrot_paraphraser_on_T5,646252,92,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/facebook/opt-1.3b,619284,39,text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/sentence-transformers/all-MiniLM-L12-v2,589589,17,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/joeddav/xlm-roberta-large-xnli,579338,90,zero-shot-classification,Natural Language Processing,no,no,no
https://huggingface.co/distilbert-base-multilingual-cased,569765,34,fill-mask,Natural Language Processing,yes,yes ,yes
https://huggingface.co/finiteautomata/bertweet-base-sentiment-analysis,513683,52,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/bert-base-nli-mean-tokens,512843,15,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/google/t5-v1_1-base,508596,29,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/ml6team/keyphrase-extraction-distilbert-inspec,503840,6,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/neuralmind/bert-base-portuguese-cased,492198,56,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/Helsinki-NLP/opus-mt-en-hi,491699,7,translation,Natural Language Processing,no,no,no
https://huggingface.co/valhalla/distilbart-mnli-12-1,473826,29,zero-shot-classification,Natural Language Processing,no,no,no
https://huggingface.co/fabiochiu/t5-base-tag-generation,448048,14,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,443459,112,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/t5-large,403428,46,translation,Natural Language Processing,no,no,no
https://huggingface.co/sshleifer/distilbart-cnn-12-6,401890,112,summarization,Natural Language Processing,no,no,no
https://huggingface.co/finiteautomata/beto-sentiment-analysis,390900,18,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/flair/ner-english-fast,381473,7,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/mrm8488/t5-base-finetuned-common_gen,374073,28,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/prithivida/parrot_adequacy_model,365006,3,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/gpt2-large,363058,67,text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/vinai/phobert-base,362343,9,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/Jean-Baptiste/roberta-large-ner-english,359588,35,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/facebook/m2m100_418M,358980,62,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/Helsinki-NLP/opus-mt-es-en,356670,16,translation,Natural Language Processing,no,no,no
https://huggingface.co/deepset/minilm-uncased-squad2,354403,25,question-answering,Natural Language Processing,no,no,no
https://huggingface.co/dbmdz/bert-base-german-cased,347761,7,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2,341625,64,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/google/pegasus-xsum,341241,86,summarization,Natural Language Processing,no,no,no
https://huggingface.co/microsoft/deberta-v3-large,338020,66,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/xlm-roberta-large-finetuned-conll03-english,329588,48,token-classification,Natural Language Processing,yes,yes,yes
https://huggingface.co/joeddav/distilbert-base-uncased-go-emotions-student,325444,27,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/dslim/bert-base-NER-uncased,314299,10,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/bert-base-multilingual-uncased,310694,34,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/Helsinki-NLP/opus-mt-en-fr,308604,11,translation,Natural Language Processing,no,no,no
https://huggingface.co/uer/albert-base-chinese-cluecorpussmall,307490,10,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/bert-base-german-cased,305367,30,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/dslim/bert-large-NER,292792,38,token-classification,Natural Language Processing,yes,yes,yes
https://huggingface.co/rinna/japanese-gpt-1b,287765,66,text-generation,Natural Language Processing,no,no,no
https://huggingface.co/google/flan-t5-xxl,286610,461,text2text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/microsoft/deberta-v2-xlarge,286287,11,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/siebert/sentiment-roberta-large-english,274375,45,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/neulab/codebert-java,267344,3,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/hfl/chinese-bert-wwm-ext,259349,65,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/facebook/blenderbot-400M-distill,257362,142,conversational,Natural Language Processing,no,no,no
https://huggingface.co/Helsinki-NLP/opus-mt-de-en,254039,10,translation,Natural Language Processing,no,no,no
https://huggingface.co/huggingface/CodeBERTa-small-v1,252229,32,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/prithivida/parrot_fluency_model,250541,0,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/tuner007/pegasus_paraphrase,246634,114,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/google/flan-t5-xl,246391,137,text2text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/Helsinki-NLP/opus-mt-en-de,245592,9,translation,Natural Language Processing,yes,no,yes
https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v1,242097,18,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/distiluse-base-multilingual-cased-v2,237400,44,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/ckiplab/bert-base-chinese-ws,237114,5,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/multi-qa-MiniLM-L6-cos-v1,236364,45,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/nghuyong/ernie-3.0-base-zh,234983,14,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/Helsinki-NLP/opus-mt-fr-en,232422,13,translation,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/paraphrase-mpnet-base-v2,230251,14,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/facebook/esm2_t12_35M_UR50D,229378,3,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/kykim/bertshared-kor-base,226345,5,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/google/pegasus-cnn_dailymail,221115,27,summarization,Natural Language Processing,no,no,no
https://huggingface.co/xlnet-base-cased,219407,28,text-generation,Natural Language Processing,no,no,no
https://huggingface.co/EleutherAI/gpt-neo-2.7B,217461,264,text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/facebook/opt-125m,216288,48,text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/ckiplab/bert-base-chinese-pos,210025,9,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/dbmdz/bert-large-cased-finetuned-conll03-english,205461,16,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/roberta-base-openai-detector,204416,57,text-classification,Natural Language Processing,yes,yes,yes
https://huggingface.co/Helsinki-NLP/opus-mt-ROMANCE-en,203335,0,translation,Natural Language Processing,no,no,no
https://huggingface.co/skt/kogpt2-base-v2,201412,17,text-generation,Natural Language Processing,no,no,no
https://huggingface.co/Helsinki-NLP/opus-mt-en-id,201048,2,translation,Natural Language Processing,no,no,no
https://huggingface.co/nlptown/bert-base-multilingual-uncased-sentiment,199934,96,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/Helsinki-NLP/opus-mt-ru-en,199040,17,translation,Natural Language Processing,yes,yes,yes
https://huggingface.co/MoritzLaurer/mDeBERTa-v3-base-mnli-xnli,196480,100,zero-shot-classification,Natural Language Processing,no,yes,no
https://huggingface.co/deepset/bert-large-uncased-whole-word-masking-squad2,192567,16,question-answering,Natural Language Processing,no,no,no
https://huggingface.co/mrm8488/t5-base-finetuned-summarize-news,191230,12,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/gpt2-xl,190319,81,text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/ramsrigouthamg/t5_sentence_paraphraser,188362,7,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/flexudy/t5-base-multi-sentence-doctor,187948,29,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,187715,70,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/GroNLP/bert-base-dutch-cased,185923,10,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/lidiya/bart-large-xsum-samsum,182949,22,summarization,Natural Language Processing,no,no,no
https://huggingface.co/Helsinki-NLP/opus-mt-en-sv,180238,1,translation,Natural Language Processing,no,no,no
https://huggingface.co/Rostlab/prot_bert,177832,33,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/flair/ner-english-ontonotes,177579,6,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/klue/bert-base,175510,14,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/sentence-transformers/multi-qa-mpnet-base-cos-v1,174830,7,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/Rakib/roberta-base-on-cuad,173076,1,question-answering,Natural Language Processing,no,yes,no
https://huggingface.co/microsoft/graphcodebert-base,171939,13,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/hf-internal-testing/tiny-xlm-roberta,168477,0,text-generation,Natural Language Processing,no,no,no
https://huggingface.co/bigscience/bloom-560m,168159,97,text-generation,Natural Language Processing,yes,no,yes
https://huggingface.co/cointegrated/rubert-tiny,167456,14,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/unitary/toxic-bert,166351,49,text-classification,Natural Language Processing,yes,yes,yes
https://huggingface.co/Amisha182001/autodescgpt2,165608,0,text-generation,Natural Language Processing,no,no,no
https://huggingface.co/facebook/nllb-200-distilled-600M,163272,98,translation,Natural Language Processing,no,no,no
https://huggingface.co/bhadresh-savani/distilbert-base-uncased-emotion,160789,59,text-classification,Natural Language Processing,no,no,no
https://huggingface.co/facebook/wmt19-de-en,156497,3,translation,Natural Language Processing,no,no,no
https://huggingface.co/cl-tohoku/bert-base-japanese,152040,9,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/ibm/qcpg-sentences,150940,13,text2text-generation,Natural Language Processing,yes,yes ,yes
https://huggingface.co/facebook/wmt19-en-de,150164,6,translation,Natural Language Processing,no,no,no
https://huggingface.co/bigscience/test-bloomd-6b3,148357,1,text-generation,Natural Language Processing,no,no,no
https://huggingface.co/Salesforce/codet5-base,148329,52,text2text-generation,Natural Language Processing,no,no,no
https://huggingface.co/cl-tohoku/bert-base-japanese-char,147191,7,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/google/flan-t5-base,139611,117,text2text-generation,Natural Language Processing,yes,yes,yes
https://huggingface.co/facebook/wmt19-en-ru,138643,6,translation,Natural Language Processing,no,no,no
https://huggingface.co/Helsinki-NLP/opus-mt-en-ROMANCE,137295,4,translation,Natural Language Processing,no,no,no
https://huggingface.co/hfl/chinese-roberta-wwm-ext-large,137226,30,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/nikcheerla/nooks-amd-detection-realtime,134647,0,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/flair/ner-english,134427,14,token-classification,Natural Language Processing,no,no,no
https://huggingface.co/neulab/codebert-javascript,134269,2,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/nikcheerla/nooks-amd-detection-v2-full,133394,0,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/dccuchile/bert-base-spanish-wwm-uncased,133084,24,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/hf-internal-testing/tiny-random-GPTNeoXForCausalLM,129238,0,text-generation,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/all-distilroberta-v1,129143,4,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/sentence-transformers/nli-mpnet-base-v2,128794,3,sentence-similarity,Natural Language Processing,no,no,no
https://huggingface.co/Helsinki-NLP/opus-mt-it-en,126697,5,translation,Natural Language Processing,no,no,no
https://huggingface.co/nlpaueb/legal-bert-small-uncased,125817,12,fill-mask,Natural Language Processing,no,no,no
https://huggingface.co/bert-large-cased,124264,5,fill-mask,Natural Language Processing,yes,yes,yes
https://huggingface.co/facebook/wmt19-ru-en,124096,8,translation,Natural Language Processing,no,no,no
